ticker,company_name,gics_sector,gics_sub_industry,market_cap_usd
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,23183250734.207153
NI,NiSource,Utilities,Multi-Utilities,23007875737.900406
L,Loews Corporation,Financials,Multi-line Insurance,22984251238.64682
ALB,Albemarle Corporation,Materials,Specialty Chemicals,22855910227.179565
FSLR,First Solar,Information Technology,Semiconductors,22748875986.55519
CHD,Church & Dwight,Consumer Staples,Household Products,22744745730.70604
PHM,PulteGroup,Consumer Discretionary,Homebuilding,22707877966.734535
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,22420388662.325974
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,22306836555.120438
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,22224957606.506348
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",22198604166.49933
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",21964652578.220306
OMC,Omnicom Group,Communication Services,Advertising,21922676074.45807
PFG,Principal Financial Group,Financials,Life & Health Insurance,21836691107.499023
LEN,Lennar,Consumer Discretionary,Homebuilding,21785083529.55725
VLTO,Veralto,Industrials,Environmental & Facilities Services,21521863005.02147
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,21421699313.284683
DGX,Quest Diagnostics,Health Care,Health Care Services,21327880772.738785
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,21242318347.16156
LH,Labcorp,Health Care,Health Care Services,21055631698.6084
STE,Steris,Health Care,Health Care Equipment,21042718130.558197
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,21031474230.202057
EFX,Equifax,Industrials,Research & Consulting Services,20972325424.745148
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,20651531149.746346
CPAY,Corpay,Financials,Transaction & Payment Processing Services,20317070048.527527
GPN,Global Payments,Financials,Transaction & Payment Processing Services,19916584588.675003
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,19704931586.05713
EXPD,Expeditors International,Industrials,Air Freight & Logistics,19579234782.441025
BRO,Brown & Brown,Financials,Insurance Brokers,19533564438.865353
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,19453872477.833862
INCY,Incyte,Health Care,Biotechnology,19360889372.674103
LNT,Alliant Energy,Utilities,Electric Utilities,19127955700.42218
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",19121617564.88334
EVRG,Evergy,Utilities,Electric Utilities,19023773689.44429
DD,DuPont,Materials,Specialty Chemicals,18952721768.605247
LUV,Southwest Airlines,Industrials,Passenger Airlines,18944868295.48955
LDOS,Leidos,Industrials,Diversified Support Services,18861579842.54219
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,18847200662.500122
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,18678221842.126175
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,18529412540.42633
FFIV,"F5, Inc.",Information Technology,Communications Equipment,18342570292.785645
LII,Lennox International,Industrials,Building Products,18316267752.166016
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,18087551481.382507
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,18017340884.42276
MRNA,Moderna,Health Care,Biotechnology,17993145505.33953
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,17962425000.0
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,17806464969.15799
CDW,CDW Corporation,Information Technology,Technology Distributors,17546997618.177124
VTRS,Viatris,Health Care,Pharmaceuticals,17512890426.94087
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,17442224797.5
WY,Weyerhaeuser,Real Estate,Timber REITs,17297812024.876442
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,16946295199.084791
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,16923329357.872528
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,16816482182.549776
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,16812046187.271973
NWS,News Corp (Class B),Communication Services,Publishing,16658020400.105251
TXT,Textron,Industrials,Aerospace & Defense,16490647168.04306
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",16323167534.480804
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",16267056171.306274
PTC,PTC Inc.,Information Technology,Application Software,16246539572.22107
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,16046877193.16298
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,15908054584.257568
TRMB,Trimble Inc.,Information Technology,Application Software,15879510550.052841
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,15797915634.552124
KIM,Kimco Realty,Real Estate,Retail REITs,15767534092.418747
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",15670419357.243073
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,15505972993.370338
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,15292058400.120178
GNRC,Generac,Industrials,Electrical Components & Equipment,15252236695.564972
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,15191827042.700363
J,Jacobs Solutions,Industrials,Construction & Engineering,15141230024.908646
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,14958341395.935059
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,14606429821.723114
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,14523352031.03694
MAS,Masco,Industrials,Building Products,14504968300.448341
REG,Regency Centers,Real Estate,Retail REITs,14399871479.370117
NWSA,News Corp (Class A),Communication Services,Publishing,14373773550.782877
DECK,Deckers Brands,Consumer Discretionary,Footwear,14319912684.60276
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,14199408102.939178
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,14181958991.292366
CSGP,CoStar Group,Real Estate,Real Estate Services,14178110923.281097
TYL,Tyler Technologies,Information Technology,Application Software,14147181152.5
EG,Everest Group,Financials,Reinsurance,14072086291.503906
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,13940238565.566818
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,13506682568.044376
HAS,Hasbro,Consumer Discretionary,Leisure Products,13482757021.801575
ALGN,Align Technology,Health Care,Health Care Supplies,12813046932.520294
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,12782998046.509514
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,12582582835.337402
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,12539783470.03714
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,12530996118.882294
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,12329209068.44823
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,12207925251.154907
COO,Cooper Companies (The),Health Care,Health Care Supplies,12167333978.368378
PODD,Insulet Corporation,Health Care,Health Care Equipment,12123920033.532623
GL,Globe Life,Financials,Life & Health Insurance,11980052535.357513
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,11859283552.79007
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,11737562093.326647
GEN,Gen Digital,Information Technology,Systems Software,11731707810.673267
ALLE,Allegion,Industrials,Building Products,11643450278.949783
SOLV,Solventum,Health Care,Health Care Technology,11559838513.267227
TTD,Trade Desk (The),Communication Services,Advertising,11537683510.3375
AIZ,Assurant,Financials,Multi-line Insurance,11526187401.981857
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,11512782720.151146
IVZ,Invesco,Financials,Asset Management & Custody Banks,11477036729.431152
DOC,Healthpeak Properties,Real Estate,Health Care REITs,11416114410.243874
ERIE,Erie Indemnity,Financials,Insurance Brokers,11240230376.347229
DPZ,Domino's,Consumer Discretionary,Restaurants,11234861464.474182
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,11170452461.472702
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,11148249707.639008
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,11051943636.232086
CLX,Clorox,Consumer Staples,Household Products,10532632459.728745
SWKS,Skyworks Solutions,Information Technology,Semiconductors,10438174061.701286
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,10350012449.7995
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,10341687623.615936
UHS,Universal Health Services,Health Care,Health Care Facilities,10191964576.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,10182662586.029335
DVA,DaVita,Health Care,Health Care Services,10000459061.807678
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,9962288696.79641
IT,Gartner,Information Technology,IT Consulting & Other Services,9883491550.350494
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,9850095794.0
RVTY,Revvity,Health Care,Health Care Equipment,9691112418.479668
BXP,"BXP, Inc.",Real Estate,Office REITs,9420591753.825787
BAX,Baxter International,Health Care,Health Care Equipment,8884705293.296707
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,8608060197.458633
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",8568813263.92238
HSIC,Henry Schein,Health Care,Health Care Distributors,8483323445.448326
AOS,A. O. Smith,Industrials,Building Products,8342772382.912788
FDS,FactSet,Financials,Financial Exchanges & Data,8290995949.367386
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,8179910068.568115
BLDR,Builders FirstSource,Industrials,Building Products,8141263091.247559
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,7911192523.435074
POOL,Pool Corporation,Consumer Discretionary,Distributors,7583424360.811737
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,7358149687.351128
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,7213013670.834351
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,6726826614.12022
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,6180576559.759369
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,5926176607.78067
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,
